iso3,country,variable,n_years,coverage,years,modal_grade,sources,usable_for_trend,comparability
LTU,Lithuania,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
LTU,Lithuania,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
MEX,Mexico,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
MEX,Mexico,foreign_born,8,8/13,2010-2020,A,OECD International Migration Database (stocks of foreign-bor,"CAUTION - partial coverage, with gaps","Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
MEX,Mexico,foreign_nationals,12,12/13,2010-2022,A,OECD International Migration Database (stocks of foreign pop,YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
MEX,Mexico,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
MEX,Mexico,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
MEX,Mexico,irregular_proxy_detections,6,6/13,2017-2022,C,"Unidad de Politica Migratoria, Registro e Identidad de Perso",CAUTION - partial coverage,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
NLD,Netherlands,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
NLD,Netherlands,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
NLD,Netherlands,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
NLD,Netherlands,irregular_stock,6,6/13,2017-2022,C,"Van der Heijden, Cruyff, Lugtig, Engbersen, Van Gils (WODC/U | Van der Heijden, Cruyff, Van Gils (WODC), Schattingen onrech",CAUTION - partial coverage,"NOT comparable across countries. Different estimation methods, different years, different definitions."
NLD,Netherlands,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
NLD,Netherlands,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
NOR,Norway,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
NOR,Norway,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
NOR,Norway,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
NOR,Norway,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
NOR,Norway,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
NOR,Norway,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
NZL,New Zealand,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
NZL,New Zealand,foreign_born,5,5/13,2010-2020,A,OECD International Migration Database (stocks of foreign-bor | UN DESA International Migrant Stock (retrieved via World Ban,"CAUTION - partial coverage, with gaps","Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
NZL,New Zealand,foreign_nationals,0,0/13,,,,NO - no data,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
NZL,New Zealand,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
NZL,New Zealand,irregular_proxy_overstayers,7,7/13,2010-2017,C,"Immigration New Zealand (MBIE), 'OVERSTAYERS' factsheet, Oct | Immigration New Zealand, New estimate of people who have ove","CAUTION - partial coverage, with gaps",NOT comparable across countries. Administrative register counts that capture only recorded overstays.
NZL,New Zealand,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
PHL,Philippines,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
PHL,Philippines,foreign_born,3,3/13,2010-2020,A,UN DESA International Migrant Stock (World Bank indicator SM,NO - too few years for a trend (use as a level only),"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
PHL,Philippines,foreign_nationals,2,2/13,2010-2020,B,National Statistics Office (Philippines) - 2010 Census of Po | Philippine Statistics Authority - Foreign Citizens in the Co,NO - too few years for a trend (use as a level only),"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
PHL,Philippines,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
PHL,Philippines,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
PHL,Philippines,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
POL,Poland,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
POL,Poland,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
POL,Poland,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
POL,Poland,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
POL,Poland,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
POL,Poland,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
PRT,Portugal,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
PRT,Portugal,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
PRT,Portugal,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
PRT,Portugal,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
PRT,Portugal,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
PRT,Portugal,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
RUS,Russia,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
RUS,Russia,foreign_born,3,3/13,2010-2020,A,UN DESA International Migrant Stock (World Bank indicator SM,NO - too few years for a trend (use as a level only),"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
RUS,Russia,foreign_nationals,0,0/13,,,,NO - no data,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
RUS,Russia,irregular_stock,1,1/13,2020-2020,C,"Russian Ministry of Internal Affairs (MVD) data, reported by",NO - too few years for a trend (use as a level only),"NOT comparable across countries. Different estimation methods, different years, different definitions."
RUS,Russia,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
RUS,Russia,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
SUR,Suriname,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
SUR,Suriname,foreign_born,4,4/13,2010-2020,A,General Bureau of Statistics Suriname (ABS) - Census 8 (2012 | UN DESA International Migrant Stock (World Bank indicator SM,NO - too few years for a trend (use as a level only),"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
SUR,Suriname,foreign_nationals,1,1/13,2012-2012,C,General Bureau of Statistics Suriname (ABS) - Census 8 (2012,NO - too few years for a trend (use as a level only),"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
SUR,Suriname,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
SUR,Suriname,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
SUR,Suriname,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
SVK,Slovak Republic,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
SVK,Slovak Republic,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
SVK,Slovak Republic,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
SVK,Slovak Republic,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
SVK,Slovak Republic,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
SVK,Slovak Republic,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
SVN,Slovenia,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
SVN,Slovenia,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
SVN,Slovenia,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
SVN,Slovenia,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
SVN,Slovenia,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
SVN,Slovenia,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
SWE,Sweden,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
SWE,Sweden,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
SWE,Sweden,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
SWE,Sweden,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
SWE,Sweden,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
SWE,Sweden,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
THA,Thailand,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
THA,Thailand,foreign_born,3,3/13,2010-2020,A,UN DESA International Migrant Stock (World Bank indicator SM,NO - too few years for a trend (use as a level only),"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
THA,Thailand,foreign_nationals,1,1/13,2018-2018,C,IOM / United Nations Thailand - Thailand Migration Report 20,NO - too few years for a trend (use as a level only),"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
THA,Thailand,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
THA,Thailand,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
THA,Thailand,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
TUR,Turkey,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
TUR,Turkey,foreign_born,9,9/13,2014-2022,A,OECD International Migration Database (stocks of foreign-bor,CAUTION - partial coverage,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
TUR,Turkey,foreign_nationals,13,13/13,2010-2022,A,OECD International Migration Database (stocks of foreign pop,YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
TUR,Turkey,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
TUR,Turkey,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
TUR,Turkey,irregular_proxy_detections,8,8/13,2010-2022,C,Presidency of Migration Management / Goc Idaresi Baskanligi ,"CAUTION - partial coverage, with gaps","NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
TWN,Taiwan,population,13,13/13,2010-2022,A,"內政部統計處 內政統計年報 108年版 (MOI Dept. of Statistics, Statistical Ye | 內政部統計處 內政統計月報 115年5月 (MOI Dept. of Statistics, Monthly Bulle",CAUTION - 10+ years but more than one source in the series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
TWN,Taiwan,foreign_born,0,0/13,,,,NO - no data,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
TWN,Taiwan,foreign_nationals,11,11/13,2012-2022,C,"Taiwan Ministry of the Interior, Department of Statistics (內",YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
TWN,Taiwan,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
TWN,Taiwan,irregular_proxy_overstayers,10,10/13,2012-2021,A,"National Immigration Agency (內政部移民署), reported by the Legisl | National Immigration Agency (內政部移民署), via Legislative Yuan B",CAUTION - 10+ years but more than one source in the series,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
TWN,Taiwan,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
USA,United States,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
USA,United States,foreign_born,13,13/13,2010-2022,A,OECD International Migration Database (stocks of foreign-bor,YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
USA,United States,foreign_nationals,13,13/13,2010-2022,A,OECD International Migration Database (stocks of foreign pop,YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
USA,United States,irregular_stock,13,13/13,2010-2022,C,"DHS Office of Homeland Security Statistics (Baker & Warren 2 | DHS Office of Homeland Security Statistics, Estimates of the | Pew Research Center, Q&A: How Pew Research Center estimates ",CAUTION - 10+ years but more than one source in the series,"NOT comparable across countries. Different estimation methods, different years, different definitions."
USA,United States,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
USA,United States,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
ZAF,South Africa,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
ZAF,South Africa,foreign_born,6,6/13,2010-2022,A,Statistics South Africa - Census 2011 (as tabulated in the C | Statistics South Africa - Census 2022 Statistical Release P0 | Statistics South Africa - Community Survey 2016 (presented t | UN DESA International Migrant Stock (World Bank indicator SM,"CAUTION - partial coverage, with gaps","Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
ZAF,South Africa,foreign_nationals,0,0/13,,,,NO - no data,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
ZAF,South Africa,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
ZAF,South Africa,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
ZAF,South Africa,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
